,0.1P,,,,,0.2P,,,,,0.4P,,,,,0.5P,,,,,0.6P,,,,,0.8P,,,
,MSE,SSIM,PSNR,MAE,,MSE,SSIM,PSNR,MAE,,MSE,SSIM,PSNR,MAE,,MSE,SSIM,PSNR,MAE,,MSE,SSIM,PSNR,MAE,,MSE,SSIM,PSNR,MAE
1,490.4311,0.5793,20.6622,0.0525,,490.6262,0.5783,20.6605,0.0526,1,490.9925,0.5767,20.6572,0.0527,,491.209,0.576,20.6553,0.0527,1,491.4791,0.5759,20.6529,0.0527,,491.8759,0.5753,20.6494,0.0528
2,203.5047,0.7207,25.0451,0.0351,,203.5873,0.7206,25.0433,0.0351,2,203.8528,0.7197,25.0376,0.0351,,203.9625,0.7196,25.0353,0.0352,2,204.0617,0.7195,25.0332,0.0352,,204.3787,0.7183,25.0264,0.0353
3,66.0135,0.7768,27.2405,0.0218,,66.0966,0.7766,27.235,0.0218,3,66.2284,0.7764,27.2264,0.0219,,66.3234,0.7763,27.2202,0.0219,3,66.3951,0.7761,27.2155,0.0219,,66.5478,0.7758,27.2055,0.022
4,490.6448,0.6096,20.3269,0.0596,,490.7643,0.6096,20.3258,0.0596,4,490.9026,0.6095,20.3246,0.0596,,491.0252,0.6094,20.3235,0.0596,4,491.0855,0.6094,20.323,0.0596,,491.2973,0.6093,20.3211,0.0597
5,194.3744,0.7955,24.535,0.031,,194.4772,0.7952,24.5327,0.0311,5,194.6796,0.7951,24.5282,0.0312,,194.7508,0.795,24.5266,0.0312,5,194.874,0.7949,24.5238,0.0312,,195.0406,0.7948,24.5201,0.0313
6,105.6849,0.7623,25.9098,0.0248,,105.7707,0.7622,25.9063,0.0248,6,105.9003,0.762,25.9009,0.0249,,105.9994,0.7619,25.8969,0.0249,6,106.0666,0.7619,25.8941,0.0249,,106.2189,0.7616,25.8879,0.025
7,91.8183,0.8343,28.154,0.0214,,91.8994,0.8342,28.1502,0.0214,7,92.0976,0.8337,28.1408,0.0215,,92.1847,0.8336,28.1367,0.0215,7,92.307,0.8334,28.131,0.0216,,92.4679,0.8332,28.1234,0.0216
8,338.7721,0.6488,21.4701,0.0467,,338.8432,0.6487,21.4691,0.0467,8,338.9503,0.6483,21.4678,0.0468,,338.9937,0.6481,21.4672,0.0468,8,339.1227,0.648,21.4656,0.0468,,339.3232,0.6479,21.463,0.0469
9,310.4014,0.6509,22.5757,0.0469,,310.5048,0.6509,22.5743,0.047,9,310.6901,0.6507,22.5717,0.047,,310.8025,0.6507,22.5701,0.047,9,310.8666,0.6506,22.5692,0.047,,311.0497,0.6505,22.5667,0.047
10,190.7171,0.6254,25.05,0.0363,,190.8194,0.6252,25.0477,0.0363,10,190.9812,0.6251,25.044,0.0363,,191.0619,0.625,25.0422,0.0363,10,191.1827,0.625,25.0395,0.0363,,191.2733,0.6248,25.0374,0.0364
11,233.8674,0.6803,23.8418,0.0386,,233.9283,0.6803,23.8407,0.0386,11,234.0916,0.6801,23.8377,0.0387,,234.1545,0.68,23.8365,0.0387,11,234.2046,0.6799,23.8356,0.0387,,234.3432,0.6797,23.833,0.0387
12,704.2222,0.5151,19.6537,0.0698,,704.2514,0.515,19.6535,0.0698,12,704.3437,0.5149,19.653,0.0699,,704.3891,0.5148,19.6527,0.0699,12,704.4995,0.5148,19.652,0.0699,,704.6273,0.5148,19.6512,0.0699
13,98.8995,0.7423,27.7244,0.0253,,98.9438,0.7421,27.7224,0.0254,13,99.0481,0.7418,27.7178,0.0254,,99.086,0.7417,27.7162,0.0254,13,99.1567,0.7415,27.7131,0.0254,,99.283,0.7414,27.7076,0.0254
14,74.2324,0.8077,28.8256,0.019,,74.3437,0.8074,28.8191,0.0191,14,74.5304,0.8071,28.8082,0.0192,,74.6381,0.8069,28.8019,0.0193,14,74.7269,0.8068,28.7968,0.0193,,74.932,0.8064,28.7849,0.0195
15,168.4978,0.7504,25.302,0.0303,,168.5986,0.7501,25.2994,0.0303,15,168.7997,0.7496,25.2942,0.0304,,168.9098,0.7496,25.2914,0.0304,15,168.9952,0.7495,25.2892,0.0305,,169.1436,0.7493,25.2854,0.0305
16,187.0196,0.7586,24.7761,0.0331,,187.1161,0.7585,24.7739,0.0331,16,187.2673,0.7582,24.7703,0.0331,,187.3673,0.7582,24.768,0.0332,16,187.4349,0.758,24.7665,0.0332,,187.6103,0.7578,24.7624,0.0332
17,915.4351,0.3894,18.5145,0.0887,,915.6691,0.3894,18.5134,0.0887,17,915.7505,0.3894,18.513,0.0887,,915.9089,0.3893,18.5123,0.0888,17,915.685,0.3894,18.5133,0.0888,,916.0609,0.3893,18.5116,0.0888
18,128.1274,0.7947,25.4503,0.0266,,128.2081,0.7946,25.4476,0.0267,18,128.5775,0.7943,25.4351,0.0267,,128.4851,0.7944,25.4382,0.0267,18,128.742,0.7942,25.4295,0.0268,,128.9064,0.794,25.424,0.0268
19,366.8176,0.7732,22.4863,0.037,,366.9056,0.7729,22.4853,0.0371,19,367.0825,0.7723,22.4832,0.0372,,367.1525,0.772,22.4823,0.0373,19,367.2092,0.7716,22.4817,0.0373,,367.1014,0.7713,22.4829,0.0374
20,251.1946,0.8265,24.0623,0.0321,,251.2913,0.8262,24.0606,0.0321,20,251.5069,0.8253,24.0569,0.0322,,251.6506,0.8251,24.0544,0.0322,20,251.8788,0.8249,24.0505,0.0323,,252.4231,0.824,24.0411,0.0323
